seed,baseline_objective,caf_violations,repaired_count,unresolved_count,total_travel_km,max_rest_gap,top_3_venue_share,validation_errors,validation_warnings,wall_time_s
45,67075.0,0,0,0,55005.0,32,0.46078431372549017,0,0,0.0
44,67075.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
42,67075.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
43,67075.0,0,0,0,55005.0,25,0.46078431372549017,0,0,0.0
46,72665.0,0,0,0,55005.0,27,0.46078431372549017,0,0,0.0
49,72665.0,0,0,0,55005.0,31,0.46078431372549017,0,0,0.0
47,72665.0,0,0,0,55005.0,31,0.46078431372549017,0,0,0.0
48,72665.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
51,68895.0,0,0,0,55005.0,29,0.46078431372549017,0,0,0.0
53,68895.0,0,0,0,55005.0,32,0.46078431372549017,0,0,0.0
50,68895.0,0,0,0,55005.0,25,0.46078431372549017,0,0,0.0
52,75245.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
54,71375.0,0,0,0,55005.0,29,0.46078431372549017,0,0,0.0
56,68305.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
57,69355.0,0,0,0,55005.0,31,0.46078431372549017,0,0,0.0
55,66695.0,0,0,0,55005.0,25,0.46078431372549017,0,0,0.0
58,79165.0,0,0,0,55005.0,31,0.46078431372549017,0,0,0.0
59,67525.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
60,65725.0,0,0,0,55005.0,27,0.46078431372549017,0,0,0.0
61,75495.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
62,71095.0,0,0,0,55005.0,27,0.46078431372549017,0,0,0.0
63,71095.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
64,73405.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
65,70835.0,0,0,0,55005.0,29,0.46078431372549017,0,0,0.0
66,69635.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
67,69635.0,0,0,0,55005.0,31,0.46078431372549017,0,0,0.0
68,69805.0,0,0,0,55005.0,25,0.46078431372549017,0,0,0.0
69,72335.0,0,0,0,55005.0,31,0.46078431372549017,0,0,0.0
70,85025.0,0,0,0,55005.0,31,0.46078431372549017,0,0,0.0
71,66305.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
72,66305.0,0,0,0,55005.0,25,0.46078431372549017,0,0,0.0
73,66735.0,0,0,0,55005.0,26,0.46078431372549017,0,0,0.0
74,66695.0,0,0,0,55005.0,25,0.46078431372549017,0,0,0.0
75,66695.0,0,0,0,55005.0,26,0.46078431372549017,0,0,0.0
76,72265.0,0,0,0,55005.0,27,0.46078431372549017,0,0,0.0
77,68175.0,0,0,0,55005.0,26,0.46078431372549017,0,0,0.0
78,66855.0,0,0,0,55005.0,29,0.46078431372549017,0,0,0.0
79,66855.0,0,0,0,55005.0,24,0.46078431372549017,0,0,0.0
80,72435.0,0,0,0,55005.0,30,0.46078431372549017,0,0,0.0
81,67765.0,0,0,0,55005.0,25,0.46078431372549017,0,0,0.0
83,66595.0,0,0,0,55005.0,32,0.46078431372549017,0,0,0.0
82,66595.0,0,0,0,55005.0,26,0.46078431372549017,0,0,0.0
84,66735.0,0,0,0,55005.0,32,0.46078431372549017,0,0,0.0
85,66735.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
87,69795.0,0,0,0,55005.0,27,0.46078431372549017,0,0,0.0
86,69795.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
89,67185.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
88,67185.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
90,65535.0,0,0,0,55005.0,25,0.46078431372549017,0,0,0.0
91,68425.0,0,0,0,55005.0,28,0.46078431372549017,0,0,0.0
