Round,Start_Date,End_Date,Calendar_Weeks,Slot_Count
1,2026-08-01,2026-08-05,1,15
2,2026-08-06,2026-08-10,1;2,15
3,2026-08-11,2026-08-15,2,15
4,2026-08-16,2026-08-20,3,15
5,2026-08-21,2026-08-25,3;4,15
6,2026-08-26,2026-08-30,4;5,15
7,2026-09-22,2026-09-26,8,15
8,2026-09-27,2026-10-01,9,15
9,2026-10-02,2026-10-06,9;10,15
10,2026-10-16,2026-10-20,11;12,15
11,2026-10-21,2026-10-25,12;13,15
12,2026-10-26,2026-10-30,13,15
13,2026-10-31,2026-11-04,13;14,15
14,2026-11-05,2026-11-09,14;15,15
15,2026-11-20,2026-11-24,16;17,15
16,2026-11-27,2026-12-01,17;18,15
17,2026-12-02,2026-12-06,18;19,15
18,2026-12-15,2026-12-19,20,15
19,2026-12-20,2026-12-24,21,19
20,2026-12-25,2026-12-29,21;22,20
21,2026-12-30,2027-01-03,22;23,20
22,2027-01-19,2027-01-23,25,20
23,2027-01-24,2027-01-28,26,20
24,2027-01-29,2027-02-02,26;27,20
25,2027-02-03,2027-02-07,27;28,18
26,2027-02-08,2027-02-12,28,10
27,2027-02-13,2027-02-17,28;29,10
28,2027-02-18,2027-02-22,29;30,10
29,2027-02-23,2027-02-27,30,10
30,2027-02-28,2027-03-04,31,10
31,2027-03-05,2027-03-09,31;32,12
32,2027-03-10,2027-03-14,32;33,20
33,2027-04-06,2027-04-10,36,15
34,2027-04-11,2027-04-15,37,15
