date_id,competition_name,caf_date,round,team_id,location
D_20260914,CAF CL,9/14/2024,2nd Prelim 1st Leg,PYR,Away
D_20260914,CAF CC,9/14/2024,2nd Prelim 1st Leg,ZAM,Away
D_20260915,CAF CL,9/15/2024,2nd Prelim 1st Leg,AHL,Away
D_20260915,CAF CC,9/15/2024,2nd Prelim 1st Leg,MAS,Away
D_20260920,CAF CC,9/20/2024,2nd Prelim 2nd Leg,ZAM,Home
D_20260921,CAF CL,9/21/2024,2nd Prelim 2nd Leg,AHL,Home
D_20260921,CAF CL,9/21/2024,2nd Prelim 2nd Leg,PYR,Home
D_20260922,CAF CC,9/22/2024,2nd Prelim 2nd Leg,MAS,Home
D_20261126,CAF CL,11/26/2024,Group Stage MD1,AHL,Home
D_20261126,CAF CL,11/26/2024,Group Stage MD1,PYR,Home
D_20261127,CAF CC,11/27/2024,Group Stage MD1,MAS,Home
D_20261127,CAF CC,11/27/2024,Group Stage MD1,ZAM,Home
D_20261207,CAF CL,12/7/2024,Group Stage MD2,AHL,Away
D_20261208,CAF CL,12/8/2024,Group Stage MD2,PYR,Away
D_20261208,CAF CC,12/8/2024,Group Stage MD2,MAS,Away
D_20261208,CAF CC,12/8/2024,Group Stage MD2,ZAM,Away
D_20261214,CAF CL,12/14/2024,Group Stage MD3,AHL,Home
D_20261214,CAF CL,12/14/2024,Group Stage MD3,PYR,Away
D_20261215,CAF CC,12/15/2024,Group Stage MD3,ZAM,Home
D_20261215,CAF CC,12/15/2024,Group Stage MD3,MAS,Away
D_20270104,CAF CL,1/4/2025,Group Stage MD4,AHL,Away
D_20270104,CAF CL,1/4/2025,Group Stage MD4,PYR,Home
D_20270105,CAF CC,1/5/2025,Group Stage MD4,MAS,Home
D_20270105,CAF CC,1/5/2025,Group Stage MD4,ZAM,Away
D_20270111,CAF CL,1/11/2025,Group Stage MD5,AHL,Away
D_20270111,CAF CL,1/11/2025,Group Stage MD5,PYR,Away
D_20270112,CAF CC,1/12/2025,Group Stage MD5,ZAM,Away
D_20270112,CAF CC,1/12/2025,Group Stage MD5,MAS,Away
D_20270117,CAF CL,1/17/2025,Group Stage MD6,AHL,Home
D_20270118,CAF CL,1/18/2025,Group Stage MD6,PYR,Home
D_20270119,CAF CC,1/19/2025,Group Stage MD6,ZAM,Home
D_20270119,CAF CC,1/19/2025,Group Stage MD6,MAS,Home
D_20270328,CAF CL,3/28/2025,Quarter Final 1st Leg,AHL,Away
D_20270328,CAF CL,3/28/2025,Quarter Final 1st Leg,PYR,Away
D_20270330,CAF CC,3/30/2025,Quarter Final 1st Leg,ZAM,Away
D_20270330,CAF CC,3/30/2025,Quarter Final 1st Leg,MAS,Away
D_20270404,CAF CL,4/4/2025,Quarter Final 2nd Leg,AHL,Home
D_20270404,CAF CL,4/4/2025,Quarter Final 2nd Leg,PYR,Home
D_20270406,CAF CC,4/6/2025,Quarter Final 2nd Leg,ZAM,Home
D_20270406,CAF CC,4/6/2025,Quarter Final 2nd Leg,MAS,Home
D_20270418,CAF CL,4/18/2025,Semi Final 1st Leg,AHL,Away
D_20270418,CAF CL,4/18/2025,Semi Final 1st Leg,PYR,Away
D_20270420,CAF CC,4/20/2025,Semi Final 1st Leg,ZAM,Away
D_20270420,CAF CC,4/20/2025,Semi Final 1st Leg,MAS,Away
D_20270425,CAF CL,4/25/2025,Semi Final 2nd Leg,AHL,Home
D_20270425,CAF CL,4/25/2025,Semi Final 2nd Leg,PYR,Home
D_20270427,CAF CC,4/27/2025,Semi Final 2nd Leg,ZAM,Home
D_20270427,CAF CC,4/27/2025,Semi Final 2nd Leg,MAS,Home
D_20270523,CAF CC,5/23/2025,Final 1st Leg,ZAM,Away
D_20270523,CAF CC,5/23/2025,Final 1st Leg,MAS,Away
D_20270524,CAF CL,5/24/2025,Final 1st Leg,AHL,Away
D_20270524,CAF CL,5/24/2025,Final 1st Leg,PYR,Away
D_20270530,CAF CC,5/30/2025,Final 2nd Leg,ZAM,Home
D_20270530,CAF CC,5/30/2025,Final 2nd Leg,MAS,Home
D_20270531,CAF CL,5/31/2025,Final 2nd Leg,AHL,Home
D_20270531,CAF CL,5/31/2025,Final 2nd Leg,PYR,Home
